Food,Measure,Grams,Calories,Protein,Fat,SatFat,Fiber,Carbs,Category
Buyuk boy patlican,x,100.0,34.7,0.8,0.2,0.0,2.5,8.7,x
Bayat ekmek,x,100.0,261.6,8.8,3.4,0.7,2.7,50.2,x
Sumak,x,100.0,276.8,13.3,14.5,2.6,34.6,49.2,x
Suzme yogurt ,x,100.0,64.2,5.3,1.6,1.0,0.0,7.2,x
Yagsiz beyaz peynir ,x,100.0,124.9,24.2,0.1,0.1,0.0,6.8,x
Ilik sut,x,100.0,51.3,3.5,1.9,1.2,0.0,4.9,x
Tuzsuz beyaz peynir,x,100.0,318.8,20.6,23.9,13.6,0.0,2.6,x
Susam ve corek otu karisimi,x,100.0,379.3,17.8,22.4,1.4,10.5,44.5,x
Soda,x,100.0,41.9,0.0,0.2,0.0,0.0,10.2,x
Ezine peyniri,x,100.0,393.9,22.7,33.0,18.9,0.0,3.2,x
Visne,x,100.0,48.6,1.0,0.3,0.1,1.6,12.1,x
Limon tuzu,x,100.0,29.0,1.1,0.3,0.0,2.7,9.3,x
Kuzu kiyma,x,100.0,282.1,24.7,19.7,8.2,0.0,0.0,x
Aci kirmizi pul biber,x,100.0,40.8,1.9,0.4,0.0,1.5,8.7,x
Yenibahar,x,100.0,268.1,6.4,8.9,2.6,21.2,72.3,x
Kurutulmus dana bagirsagi,x,100.0,0,0,0,0,0,0,x
Oda sicakliginda margarin,x,100.0,700.5,0.1,80.7,15.4,0.0,0.7,x
Instant maya,x,100.0,0,0,0,0,0,0,x
Yumurta ,x,100.0,147.0,12.5,9.7,3.1,0.0,0.7,x
corek otu,x,100.0,379.3,17.8,22.4,1.4,10.5,44.5,x
seker,x,100.0,400.4,0.0,0.2,0.0,0.0,98.2,x
Aycicek yagi ,x,100.0,870.1,0.0,99.5,9.8,0.0,0.0,x
Ekmek,x,100.0,261.6,8.8,3.4,0.7,2.7,50.2,x
Maden suyu,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Ufalanmis beyaz peynir,x,100.0,264.9,14.2,21.2,15.0,0.0,4.2,x
Mihalic peyniri,x,100.0,393.9,22.7,33.0,18.9,0.0,3.2,x
Gunluk yufka,x,100.0,436.4,3.0,25.8,9.7,1.8,50.8,x
Pratik macar salam,x,100.0,0,0,0,0,0,0,x
Eritilmis tereyagi,x,100.0,721.5,0.8,79.6,51.1,0.0,0.1,x
corek otu ,x,100.0,379.3,17.8,22.4,1.4,10.5,44.5,x
Ince kiyilmis maydanoz,x,100.0,36.1,2.9,0.8,0.3,3.4,6.3,x
uzum sirkesi,x,100.0,81.4,0.1,0.0,0.0,0.0,2.6,x
Ekmek kirintisi,x,100.0,385.8,13.4,5.4,1.2,4.6,72.8,x
Yas maya,x,100.0,321.7,40.4,7.5,1.0,26.5,41.9,x
Kavrulmus yer fistigi,x,100.0,589.7,23.8,50.5,8.0,8.1,20.9,x
Maydanoz yapragi,x,100.0,36.1,2.9,0.8,0.3,3.5,6.2,x
Haslanmis patates,x,100.0,87.3,1.9,0.1,0.0,1.8,20.5,x
Peynir,x,100.0,393.9,22.7,33.0,18.9,0.0,3.2,x
Orta boy haslanmis patates,x,100.0,85.2,1.9,0.1,0.0,1.8,20.5,x
cok kucuk dogranmis maydanoz,x,100.0,36.1,2.9,0.8,0.3,3.4,6.3,x
Karabiber ve pulbiber,x,100.0,245.3,10.5,3.0,1.3,24.8,64.1,x
Tahin,x,100.0,590.1,17.3,54.0,7.5,4.8,21.2,x
Oda isisinda su,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Toz kimyon,x,100.0,379.3,17.8,22.4,1.4,10.5,44.5,x
Tatli toz kirmizi biber,x,100.0,276.7,14.5,13.3,2.2,34.7,53.2,x
Toz karabiber,x,100.0,253.3,10.4,3.0,1.3,24.9,64.7,x
Olgunlasmamis ceviz,x,100.0,664.8,15.2,64.5,5.9,6.9,13.6,x
Kirec kaymagi,x,100.0,29.6,0.7,0.2,0.0,2.9,10.6,x
Karanfil,x,100.0,277.4,6.1,12.8,3.8,33.4,65.1,x
Tatli kirmizi biber,x,100.0,276.7,14.5,13.3,2.2,34.7,53.2,x
cemen tozu,x,100.0,0,0,0,0,0,0,x
Kisnis tozu,x,100.0,306.3,12.3,17.8,1.1,41.0,55.2,x
Hardal tozu,x,100.0,513.0,26.0,36.2,2.0,12.2,28.1,x
Pirasa,x,100.0,31.9,0.8,0.2,0.0,1.0,7.6,x
Kereviz yapragi,x,100.0,17.9,0.8,0.2,0.1,1.6,4.0,x
Kiraz ,x,100.0,63.8,1.1,0.2,0.0,2.1,15.9,x
Milfoy hamuru,x,100.0,547.7,7.4,37.8,5.5,1.5,44.9,x
Ezilmis hashas,x,100.0,0,0,0,0,0,0,x
ispanak,x,100.0,23.3,2.9,0.3,0.0,2.4,3.8,x
Misir nisastasi,x,100.0,386.8,0.3,0.0,0.0,0.9,89.9,x
Ince dogranmis maydanoz,x,100.0,36.1,2.9,0.8,0.3,3.4,6.3,x
Kuru domates,x,100.0,18.2,0.9,0.2,0.0,1.2,3.9,x
Surulebilir beyaz peynir,x,100.0,318.8,20.6,23.9,13.6,0.0,2.6,x
Kiraz domates,x,100.0,17.8,0.9,0.2,0.0,1.2,3.9,x
Dag kekigi,x,100.0,102.7,5.0,1.2,0.0,13.6,25.1,x
Ayiklanmis maydanoz,x,100.0,36.1,2.9,0.8,0.3,3.4,6.3,x
Tam bugday ekmegi,x,100.0,269.6,10.8,3.2,0.8,4.0,48.2,x
Suzme peynir,x,100.0,98.3,11.2,4.3,1.7,0.0,3.4,x
Dana jambon,x,100.0,141.6,22.2,5.1,0.9,0.0,1.0,x
Hindi fume,x,100.0,113.5,13.4,3.0,0.1,0.4,7.8,x
Sosis,x,100.0,321.9,18.4,26.9,8.8,0.0,1.4,x
carliston biber,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Maya,x,100.0,0,0,0,0,0,0,x
Tost ekmegi,x,100.0,289.0,9.1,4.0,0.8,3.0,54.4,x
Tatli yesil sivri biber,x,100.0,39.4,1.9,0.4,0.0,1.5,8.8,x
Siyah zeytin,x,100.0,116.0,0.8,10.6,1.3,3.2,6.3,x
Kolot peyniri,x,100.0,98.3,11.2,4.3,1.7,0.0,3.4,x
Kaynar su,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Inek sutu ,x,100.0,51.3,3.5,1.9,1.2,0.0,4.9,x
Vanilya cubugu,x,100.0,282.7,0.0,0.0,0.0,0.0,12.6,x
Dovulmus limon tuzu,x,100.0,29.0,1.1,0.3,0.0,2.7,9.3,x
Trabzon peyniri,x,100.0,69.4,0.6,0.2,0.0,3.6,18.8,x
Orta boy sulu ayva,x,100.0,58.0,0.4,0.1,0.0,1.9,15.0,x
Yagsiz kiyma,x,100.0,231.1,28.2,12.1,4.7,0.0,0.0,x
seftali,x,100.0,39.9,0.9,0.3,0.0,1.5,9.7,x
Tel peyniri,x,100.0,296.6,22.3,22.3,13.2,0.0,2.2,x
Bezelye,x,100.0,85.1,5.4,0.2,0.0,5.6,15.5,x
Taze fasulye,x,100.0,34.8,1.9,0.3,0.1,3.2,7.7,x
Orta boy domates ,x,100.0,18.2,0.9,0.2,0.0,1.2,3.9,x
Taze barbunya,x,100.0,128.1,8.8,0.5,0.1,6.3,22.4,x
Buyuk boy patates,x,100.0,92.9,2.5,0.1,0.0,2.2,21.0,x
Taze sikilmis limon suyu ,x,100.0,16.5,0.4,0.0,0.0,0.8,5.5,x
Bamya,x,100.0,22.5,1.9,0.2,0.0,2.5,4.6,x
Asma yapragi,x,100.0,0,0,0,0,0,0,x
Kus uzumu,x,100.0,289.8,4.1,0.3,0.0,6.8,72.8,x
Enginar,x,100.0,53.7,2.9,0.3,0.1,5.7,11.7,x
Deniz borulcesi,x,100.0,128.1,8.8,0.5,0.1,6.3,22.4,x
Kuru bakla,x,100.0,109.7,7.7,0.4,0.1,5.5,19.3,x
Ic bakla,x,100.0,129.5,8.7,0.5,0.1,6.4,22.6,x
Girit kabagi,x,100.0,0,0,0,0,0,0,x
Sari biber,x,100.0,27.6,1.0,0.2,0.0,0.9,6.2,x
Kabak cicegi,x,100.0,22.6,1.0,0.4,0.1,1.1,3.8,x
Orta boy dolmalik biber,x,100.0,27.6,0.9,0.2,0.0,1.2,6.8,x
Barbunya,x,100.0,129.5,8.7,0.5,0.1,6.4,22.6,x
Pirasa ,x,100.0,31.9,0.8,0.2,0.0,1.0,7.6,x
Portakal suyu,x,100.0,46.4,0.7,0.1,0.0,0.3,11.2,x
Kereviz,x,100.0,17.9,0.8,0.2,0.1,1.6,4.0,x
Limon kabugu,x,100.0,47.9,1.5,0.3,0.0,10.8,15.7,x
Haslanmis yumurta,x,100.0,150.4,12.6,10.5,3.2,0.0,1.1,x
Bruksel lahanasi,x,100.0,36.6,2.6,0.5,0.1,2.6,7.1,x
Yer fistigi,x,100.0,578.5,24.1,50.1,7.9,7.9,21.0,x
Enginar ,x,100.0,53.7,2.9,0.3,0.1,5.7,11.7,x
Orta boy limon,x,100.0,29.0,1.1,0.3,0.0,2.7,9.3,x
Rendelenmis parmesan peyniri,x,100.0,429.7,28.7,28.3,15.4,0.0,14.2,x
Ayiklanmis sevketi bostan,x,100.0,0,0,0,0,0,0,x
Kuzu kusbasi eti,x,100.0,301.2,24.4,20.5,8.8,0.0,0.0,x
Arpacik sogan,x,100.0,73.6,2.5,0.1,0.0,3.2,16.9,x
Baldo pirinc,x,100.0,127.4,2.7,0.3,0.1,0.4,28.4,x
Tuzlu yogurt,x,100.0,64.2,5.3,1.6,1.0,0.0,7.2,x
Firinlanmis sarimsak,x,100.0,144.8,6.4,0.7,0.0,2.0,32.5,x
Dolmalik biber,x,100.0,27.5,0.9,0.2,0.0,1.2,6.8,x
candir fasulyesi ,x,100.0,91.3,4.7,0.4,0.1,4.1,21.3,x
Visne ,x,100.0,48.6,1.0,0.3,0.1,1.6,12.1,x
Visne suyu,x,100.0,52.5,0.1,0.0,0.0,0.1,13.3,x
Portakal kabugu rendesi,x,100.0,97.3,1.5,0.2,0.0,10.7,25.1,x
Limon kabugu rendesi,x,100.0,46.5,1.5,0.3,0.0,10.6,15.8,x
Toz zerdecal,x,100.0,309.4,9.6,3.4,2.0,22.6,68.0,x
Yesil sivri biber,x,100.0,39.4,1.9,0.4,0.0,1.5,8.8,x
Kemer patlican,x,100.0,34.7,0.8,0.2,0.0,2.5,8.7,x
Basbasi bulgur,x,100.0,85.4,3.1,0.2,0.0,4.5,18.9,x
Kup seker,x,100.0,385.6,0.0,0.0,0.0,0.0,99.8,x
Dolma baharati,x,100.0,0,0,0,0,0,0,x
Beyaz sarap,x,100.0,84.2,0.1,0.0,0.0,0.0,2.6,x
Shallot sogan,x,100.0,73.6,2.5,0.1,0.0,3.2,16.9,x
Kavrulmus dolmalik fistik,x,100.0,589.7,23.8,50.5,8.0,8.1,20.9,x
Haslanmis barbunya,x,100.0,128.1,8.8,0.5,0.1,6.3,22.4,x
cubuk tarcin,x,100.0,242.5,3.8,1.5,0.0,52.2,81.0,x
cicek enginar ,x,100.0,0,0,0,0,0,0,x
Sarimsakli yogurt,x,100.0,144.8,6.4,0.7,0.0,2.0,32.5 ,x
cam fistigi,x,100.0,674.1,13.7,69.5,4.9,3.6,13.3,x
Tarcin ,x,100.0,247.4,3.9,1.1,0.4,53.8,80.4,x
Erik,x,100.0,0,0,0,0,0,0,x
Kuru incir,x,100.0,76.1,0.8,0.3,0.1,2.9,19.4,x
Kurutulmus biber,x,100.0,248.5,10.5,3.0,1.3,25.4,63.1,x
Sumak eksisi,x,100.0,276.8,13.3,14.5,2.6,34.6,49.2 ,x
Ayva,x,100.0,58.0,0.4,0.1,0.0,1.9,15.0,x
Mor havuc,x,100.0,34.0,0.8,0.2,0.0,3.0,8.3,x
Sizma zeytinyagi,x,100.0,894.9,0.0,101.5,13.9,0.0,0.0,x
Nar,x,100.0,84.2,1.7,1.2,0.1,4.1,18.5,x
Garnitur,x,100.0,0,0,0,0,0,0,x
Taze borulce,x,100.0,129.5,8.7,0.5,0.1,6.4,22.6,x
Reyhan,x,100.0,24.4,4.0,0.0,0.0,2.0,2.0,x
Buyuk boy rendelenmis domates,x,100.0,15.5,0.8,0.3,0.0,1.9,3.5,x
Kucuk boy enginar,x,100.0,53.7,2.9,0.3,0.1,5.7,11.7,x
Yesil zeytin,x,100.0,147.0,1.1,15.0,1.8,3.3,3.8,x
Kurutulmus domates,x,100.0,18.5,0.9,0.2,0.0,1.2,3.9,x
Kadayif,x,100.0,0,0,0,0,0,0,x
Isirgan yapragi,x,100.0,0,0,0,0,0,0,x
Sebze suyu,x,100.0,21.9,0.9,0.3,0.1,0.5,3.8,x
Top patlican,x,100.0,34.7,0.8,0.2,0.0,2.5,8.7,x
Biberli domates konservesi,x,100.0,18.5,0.9,0.2,0.0,1.2,3.9 ,x
Cali fasulyesi,x,100.0,34.6,1.9,0.3,0.0,3.1,7.9,x
Taze bezelye,x,100.0,82.4,5.4,0.2,0.0,5.4,15.9,x
Portakal,x,100.0,50.4,0.9,0.1,0.0,2.2,12.4,x
Zeytinyag,x,100.0,869.2,0.0,101.2,13.9,0.0,0.0,x
Mandalina,x,100.0,47.1,0.9,0.2,0.0,1.7,11.9,x
Tatli kirmizi toz biber,x,100.0,118.7,7.5,7.2,2.3,0.5,6.2,x
Zerdecal ,x,100.0,309.4,9.6,3.4,2.0,22.6,68.0,x
Yenibahar ,x,100.0,268.1,6.4,8.9,2.6,21.2,72.3,x
Pazi,x,100.0,19.4,1.9,0.1,0.0,2.1,4.0,x
Lahana,x,100.0,23.4,1.3,0.1,0.0,1.9,5.5,x
Kimyon ,x,100.0,379.3,17.8,22.4,1.4,10.5,44.5,x
Kekik ,x,100.0,102.7,5.0,1.2,0.0,13.6,25.1,x
Kuru feslegen,x,100.0,233.6,22.7,4.3,2.9,36.7,47.8,x
Domates ici,x,100.0,18.2,0.9,0.2,0.0,1.2,3.9,x
Taze sikilmis portakal suyu,x,100.0,46.4,0.7,0.1,0.0,0.3,11.2,x
Sivi krema,x,100.0,347.4,2.9,35.6,22.9,0.0,2.8,x
Kuvertur cikolata,x,100.0,540.2,7.8,29.4,18.6,3.4,58.9,x
Beyaz cikolata,x,100.0,548.7,5.9,31.7,19.5,0.2,58.1,x
Pirinc findik,x,100.0,127.4,2.7,0.3,0.1,0.4,28.4 ,x
Krem santi,x,100.0,260.9,3.1,22.0,13.7,0.0,12.7,x
Rendelenmis elma,x,100.0,53.0,0.3,0.2,0.0,2.4,14.1,x
Kakaolu petibor biskuvi,x,100.0,411.3,19.8,10.1,0.0,20.3,60.6 ,x
Toz findik,x,100.0,662.2,14.9,62.8,4.5,9.2,17.7,x
Pismeyen vanilyali puding,x,100.0,126.6,1.5,3.7,1.0,0.0,22.2,x
Toz krem santi,x,100.0,260.9,3.1,22.0,13.7,0.0,12.7,x
Cikolata kremali biskuvi,x,100.0,540.2,7.8,29.4,18.6,3.4,58.9 ,x
Hazir cikolata sosu,x,100.0,284.0,2.1,1.1,0.5,2.6,64.1,x
File badem,x,100.0,0,0,0,0,0,0,x
Cikolatali puding,x,100.0,140.1,2.1,4.6,1.3,0.0,22.7,x
Sicak sut,x,100.0,51.3,3.5,1.9,1.2,0.0,4.9,x
Toz jelatin,x,100.0,326.4,84.9,0.1,0.0,0.0,0.0,x
cirpilmis krema,x,100.0,260.9,3.1,22.0,13.7,0.0,12.7,x
Kayisi cekirdegi,x,100.0,48.3,1.4,0.4,0.0,2.0,11.1,x
Sutlu cikolata,x,100.0,81.7,3.2,3.4,2.1,0.8,10.5,x
Potibor biskuvi,x,100.0,346.1,6.9,16.3,4.3,1.5,44.8,x
cikolatali findikli puding,x,100.0,540.2,7.8,29.4,18.6,3.4,58.9,x
Findik,x,100.0,656.2,14.9,61.5,4.5,9.4,17.8,x
Rendelenmis bitter cikolata,x,100.0,542.0,4.8,31.9,18.7,7.0,60.9,x
Kakaolu hazir pandispanya keki,x,100.0,411.3,19.8,10.1,0.0,20.3,60.6,x
Damla cikolata,x,100.0,467.3,4.2,29.7,17.7,5.9,64.6,x
Orman meyveli sos,x,100.0,60.8,0.8,0.3,0.0,2.0,15.3,x
Hazir rulo pasta,x,100.0,313.0,9.6,6.5,1.6,3.7,52.9,x
cikolata kremasi,x,100.0,540.2,7.8,29.4,18.6,3.4,58.9,x
Kakaolu puding,x,100.0,411.3,19.8,10.1,0.0,20.3,60.6,x
Antep fistigi,x,100.0,584.0,21.5,44.9,5.7,10.0,27.2,x
Kakaolu biskuvi,x,100.0,411.3,19.8,10.1,0.0,20.3,60.6,x
Vanilya cubugu ,x,100.0,282.7,0.0,0.0,0.0,0.0,12.6,x
Ganaj,x,100.0,0,0,0,0,0,0,x
Rendelenmis beyaz cikolata,x,100.0,548.7,5.9,31.7,19.5,0.2,58.1,x
Halley biskuvi,x,100.0,346.1,6.9,16.3,4.3,1.5,44.8,x
Kuru meyve parcacigi,x,100.0,243.5,2.4,0.5,0.0,7.8,65.2,x
Ince cekilmis ceviz ici,x,100.0,635.9,15.2,65.0,5.9,6.9,13.8,x
Toblerone cikolata,x,100.0,515.5,5.7,28.7,17.3,2.5,62.0,x
cubuk vanilya ,x,100.0,282.7,0.0,0.0,0.0,0.0,12.6,x
Kedidili biskuvi,x,100.0,358.9,7.0,16.5,4.3,1.5,44.6,x
Findik krokan,x,100.0,656.2,14.9,61.5,4.5,9.4,17.8,x
Bitkisel sivi krem santi,x,100.0,260.9,3.1,22.0,13.7,0.0,12.7,x
Yulafli biskuvi,x,100.0,69.6,2.5,1.5,0.3,1.7,11.8,x
Hindistan cevizi sutu,x,100.0,197.2,2.0,21.2,18.8,0.0,2.8,x
Ince cekilmis antep fistigi,x,100.0,584.0,21.5,44.9,5.7,10.0,27.2,x
Eritilmis ve oda isisinda bekletilmis tereyagi,x,100.0,721.5,0.8,79.6,51.1,0.0,0.1,x
Rendelenmis limon kabugu,x,100.0,47.9,1.5,0.3,0.0,10.8,15.7,x
Dondurulmus bogurtlen,x,100.0,41.8,1.4,0.5,0.0,5.3,9.6,x
Buyuk boy yumurta aki,x,100.0,145.7,12.7,9.4,3.1,0.0,0.7,x
Sekersiz cig krema,x,100.0,347.4,2.9,35.6,22.9,0.0,2.8,x
Yogunlastirilmis sut,x,100.0,328.5,8.0,8.8,5.5,0.0,54.5,x
Findik ici,x,100.0,656.2,14.9,61.5,4.5,9.4,17.8,x
Vanilyali puding,x,100.0,126.6,1.5,3.7,1.0,0.0,22.2,x
,x,100.0,0,0,0,0,0,0,x
Damla sakizli vanilin,x,100.0,398.1,0.0,0.0,0.0,0.1,98.4,x
Pasta susu,x,100.0,393.6,3.0,17.6,2.9,0.3,57.2,x
Oda sicakliginda tereyag,x,100.0,721.5,0.8,79.6,51.1,0.0,0.1,x
Vanilyali toz puding,x,100.0,282.7,0.0,0.0,0.0,0.0,12.6,x
Kedi dili biskuvi,x,100.0,358.9,7.0,16.5,4.3,1.5,44.6,x
Kahve,x,100.0,1.0,0.1,0.0,0.0,0.0,0.0,x
Mascarpone peyniri,x,100.0,446.8,4.6,46.3,27.4,0.0,3.1,x
Konyak,x,100.0,228.9,0.0,0.0,0.0,0.0,0.0,x
Turk kahvesi,x,100.0,1.0,0.1,0.0,0.0,0.0,0.0,x
Kakaolu pirinc patlagi,x,100.0,373.9,5.6,5.1,1.0,5.8,82.1,x
Margarin,x,100.0,700.5,0.1,80.7,15.4,0.0,0.7,x
Kirmizi meyveler,x,100.0,46.5,1.0,0.4,0.0,3.9,11.1,x
Ananas,x,100.0,50.8,0.5,0.1,0.0,1.4,13.0,x
Kucuk muz,x,100.0,89.4,1.1,0.3,0.1,2.6,23.2,x
Hazir puding,x,100.0,104.6,3.2,1.9,1.1,0.4,19.0,x
Kakaolu krem santi,x,100.0,411.3,19.8,10.1,0.0,20.3,60.6,x
cekirdeksiz visne,x,100.0,63.8,1.1,0.2,0.0,2.1,15.9,x
Yemek kasigi un,x,100.0,362.6,10.2,1.0,0.2,2.7,77.0,x
Taze visne ,x,100.0,63.5,1.1,0.2,0.0,2.0,15.9,x
Esmer seker,x,100.0,381.1,0.0,0.0,0.0,0.0,98.8,x
Sut kremasi,x,100.0,51.3,3.5,1.9,1.2,0.0,4.9,x
Vanilya ,x,100.0,282.7,0.0,0.0,0.0,0.0,12.6,x
Hamsi,x,100.0,206.1,29.1,9.9,2.2,0.0,0.0,x
Orta boy palamut baligi,x,100.0,288.5,62.3,2.2,0.6,0.0,0.0,x
Palamut,x,100.0,288.5,62.3,2.2,0.6,0.0,0.0,x
Kizartma yagi,x,100.0,883.0,0.0,100.8,6.6,0.0,0.0,x
Buyuk boy palamut baligi,x,100.0,288.5,62.3,2.2,0.6,0.0,0.0,x
Istavrit,x,100.0,254.4,23.9,18.0,4.2,0.0,0.0,x
cinekop,x,100.0,0,0,0,0,0,0,x
Sardalya baligi,x,100.0,212.7,24.6,11.4,1.5,0.0,0.0,x
Ince cekilmis deniz tuzu,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Taze cekilmis renkli tane karabiber,x,100.0,254.5,10.5,3.0,1.3,25.2,63.0,x
Orta boy marul,x,100.0,17.0,1.2,0.3,0.0,2.1,3.3,x
Orta boy uskumru,x,100.0,0,0,0,0,0,0,x
Somon,x,100.0,208.7,22.0,12.1,2.4,0.0,0.0,x
Kars gravyer peyniri,x,100.0,420.7,29.9,32.3,18.8,0.0,0.4,x
Barbun baligi,x,100.0,0,0,0,0,0,0,x
Toz sebze cesni ,x,100.0,32.7,1.7,0.3,0.1,3.0,6.8,x
Mezgit fileto,x,100.0,263.2,26.5,17.0,6.7,0.0,0.0,x
Kori,x,100.0,101.0,12.1,4.7,0.6,0.6,3.2,x
cupra,x,100.0,0,0,0,0,0,0,x
Rezene tohumu,x,100.0,336.1,16.1,14.9,0.5,39.4,53.0,x
Safran,x,100.0,301.8,11.5,5.8,1.4,4.3,65.5,x
Orta boy cipura,x,100.0,115.0,24.9,0.9,0.2,0.0,0.0,x
Ince cekilmis renkli tane karabiber,x,100.0,253.3,10.4,3.0,1.3,24.9,64.7,x
Iri palamut,x,100.0,0,0,0,0,0,0,x
Uskumru,x,100.0,0,0,0,0,0,0,x
Iri cekilmis deniz tuzu,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Taze kekik ,x,100.0,102.7,5.0,1.2,0.0,13.6,25.1,x
Deniz levregi,x,100.0,121.7,23.4,2.6,0.7,0.0,0.0,x
Kisnis tohumu,x,100.0,301.1,12.3,17.7,1.1,42.0,55.8,x
Ince tuz,x,100.0,0.0,0.0,0.0,0.0,0.0,0.0,x
Yumurta beyazi ,x,100.0,52.9,10.9,0.2,0.0,0.0,0.7,x
Fileto mezgit,x,100.0,263.2,26.5,17.0,6.7,0.0,0.0,x
Mayonez,x,100.0,689.3,0.9,74.7,11.8,0.0,0.6,x
Kapari cicegi,x,100.0,23.2,2.3,0.8,0.2,3.3,4.9,x
